,GPT-J (6B),FT-L,MEMIT,ROME
count,1000.0,1000.0,1000.0,1000.0
mean,0.07457040967427384,0.06960205793655855,0.06807647025664912,0.053617541817290476
std,0.0007645499707008642,0.0008499413349748366,0.0007726550529953094,0.0008554259204717014
min,0.0723589763479531,0.0667243341623454,0.0659772730734782,0.0508719394417682
0.5,0.07258865287227136,0.06757759129905742,0.06623634248698534,0.05149219018828663
50,0.07456602275502455,0.0695903299373265,0.0680823965783111,0.05362468876846585
99.5,0.07659442133259724,0.07177433890690396,0.0700390325374287,0.05593141950838467
max,0.0769710543848798,0.0727413823840013,0.0709461290311998,0.0566865064572287
count-plus,1000.0,1000.0,1000.0,1000.0
mean-plus,0.11438921328324524,0.093071168178401,-0.020744897763376017,-0.12147990404658164
std-plus,0.00113976295044599,0.0013163387150030845,0.0016640648363955423,0.001993952961481919
min-plus,0.1104568465132902,0.0885076640185384,-0.0266424877027972,-0.1273611870127023
0.5-plus,0.11119710501709372,0.0897746496961347,-0.024989762849336107,-0.12655905719498345
50-plus,0.11438526279703859,0.09310022247271725,-0.02069187976748275,-0.12141674643584896
99.5-plus,0.11700291850700159,0.09607284056157374,-0.01658261384918993,-0.11663406666354419
max-plus,0.1175211321543557,0.0964816361243349,-0.0159319902676036,-0.1154317099346444
